Date,Open,High,Low,Close,Volume,symbol
2014-02-04,0.2975,0.314,0.29,0.3061,2252309.0,lqmt
2014-02-05,0.31,0.3227,0.28,0.287,3191530.0,lqmt
2014-02-06,0.2854,0.3049,0.2823,0.29,1704361.0,lqmt
2014-02-07,0.29,0.304,0.28300000000000003,0.2925,1568829.0,lqmt
2014-02-10,0.3155,0.316,0.299,0.31,1749031.0,lqmt
2014-02-11,0.3125,0.3177,0.2655,0.275,6615309.0,lqmt
2014-02-12,0.258,0.266,0.1841,0.23,21114318.0,lqmt
2014-02-13,0.225,0.23,0.2105,0.2155,4079641.0,lqmt
2014-02-14,0.2156,0.309,0.2021,0.287,27611998.0,lqmt
2014-02-17,0.2156,0.309,0.2021,0.287,0.0,lqmt
2014-02-18,0.3175,0.32,0.282,0.29,6936896.0,lqmt
2014-02-19,0.285,0.285,0.26,0.2695,2924074.0,lqmt
2014-02-20,0.2807,0.32,0.27899999999999997,0.3044,7260889.0,lqmt
2014-02-21,0.306,0.319,0.305,0.3185,4471027.0,lqmt
2014-02-24,0.3125,0.33799999999999997,0.31,0.33,5146196.0,lqmt
2014-02-25,0.33,0.34,0.289,0.298,8943889.0,lqmt
2014-02-26,0.302,0.32,0.298,0.308,3170819.0,lqmt
2014-02-27,0.3147,0.32,0.295,0.295,3527344.0,lqmt
2014-02-28,0.3,0.3,0.28800000000000003,0.294,2764103.0,lqmt
2014-03-03,0.289,0.29,0.261,0.273,6801176.0,lqmt
2014-03-04,0.28,0.32,0.27,0.3,6156285.0,lqmt
2014-03-05,0.302,0.32,0.3,0.3135,5103196.0,lqmt
2014-03-06,0.3045,0.309,0.25,0.272,15260062.0,lqmt
2014-03-07,0.275,0.275,0.245,0.262,9408193.0,lqmt
2014-03-10,0.265,0.272,0.2526,0.258,3344976.0,lqmt
2014-03-11,0.254,0.255,0.24,0.24,6664163.0,lqmt
2014-03-12,0.24100000000000002,0.255,0.2355,0.24100000000000002,4873413.0,lqmt
2014-03-13,0.2375,0.254,0.2355,0.245,1908698.0,lqmt
2014-03-14,0.248,0.25,0.244,0.2476,1169828.0,lqmt
2014-03-17,0.2625,0.31,0.26,0.28300000000000003,9973619.0,lqmt
2014-03-18,0.28800000000000003,0.3,0.27,0.271,6311629.0,lqmt
2014-03-19,0.2711,0.287,0.2695,0.2799,3266103.0,lqmt
2014-03-20,0.285,0.3,0.28,0.28300000000000003,6112389.0,lqmt
2014-03-21,0.278,0.287,0.27,0.27899999999999997,3525092.0,lqmt
2014-03-24,0.2651,0.276,0.256,0.27,3984183.0,lqmt
2014-03-25,0.27,0.27899999999999997,0.262,0.27,1946036.0,lqmt
2014-03-26,0.27,0.27899999999999997,0.2651,0.266,1348326.0,lqmt
2014-03-27,0.261,0.2715,0.259,0.27,2680755.0,lqmt
2014-03-28,0.2675,0.27,0.26,0.263,1384876.0,lqmt
2014-03-31,0.2669,0.27,0.262,0.2636,1153893.0,lqmt
2014-04-01,0.258,0.26899999999999996,0.245,0.257,5700489.0,lqmt
2014-04-02,0.25,0.26,0.245,0.252,3411985.0,lqmt
2014-04-03,0.2515,0.252,0.24,0.2403,4972452.0,lqmt
2014-04-04,0.2402,0.24600000000000002,0.2394,0.2402,2926539.0,lqmt
2014-04-07,0.2402,0.245,0.21,0.22,5732531.0,lqmt
2014-04-08,0.22,0.23,0.205,0.22899999999999998,3022919.0,lqmt
2014-04-09,0.2315,0.2456,0.23,0.24100000000000002,1579145.0,lqmt
2014-04-10,0.24100000000000002,0.242,0.21,0.22,5193410.0,lqmt
2014-04-11,0.2165,0.23,0.2075,0.2185,3490189.0,lqmt
2014-04-14,0.215,0.2185,0.201,0.2011,3500559.0,lqmt
2014-04-15,0.2011,0.2025,0.18,0.1869,7982662.0,lqmt
2014-04-16,0.175,0.19,0.175,0.179,4856319.0,lqmt
2014-04-17,0.18,0.228,0.1788,0.2024,4296876.0,lqmt
2014-04-18,0.18,0.228,0.1788,0.2024,0.0,lqmt
2014-04-21,0.2032,0.2369,0.2025,0.2338,4387962.0,lqmt
2014-04-22,0.2351,0.262,0.2154,0.2445,10802226.0,lqmt
2014-04-23,0.254,0.267,0.22,0.221,4075348.0,lqmt
2014-04-24,0.221,0.2225,0.192,0.203,8311098.0,lqmt
2014-04-25,0.203,0.203,0.196,0.19899999999999998,3810202.0,lqmt
2014-04-28,0.2095,0.21,0.19,0.192,4141184.0,lqmt
2014-04-29,0.195,0.2,0.185,0.1876,4430296.0,lqmt
2014-04-30,0.18600000000000003,0.195,0.1801,0.1835,4386062.0,lqmt
2014-05-01,0.1895,0.195,0.1835,0.187,2114389.0,lqmt
2014-05-02,0.1887,0.2089,0.187,0.2035,2182758.0,lqmt
2014-05-05,0.2038,0.2135,0.2032,0.2122,2361378.0,lqmt
2014-05-06,0.215,0.21899999999999997,0.185,0.191,3372528.0,lqmt
2014-05-07,0.2,0.2015,0.1871,0.1872,2188715.0,lqmt
2014-05-08,0.188,0.20199999999999999,0.185,0.2,3119772.0,lqmt
2014-05-09,0.196,0.1999,0.18,0.182,5112639.0,lqmt
2014-05-12,0.1761,0.1824,0.165,0.17300000000000001,8276870.0,lqmt
2014-05-13,0.17300000000000001,0.182,0.172,0.177,1676984.0,lqmt
2014-05-14,0.177,0.18100000000000002,0.175,0.17800000000000002,716340.0,lqmt
2014-05-15,0.1809,0.188,0.1808,0.185,2185572.0,lqmt
2014-05-16,0.188,0.2,0.185,0.2,2692995.0,lqmt
2014-05-19,0.195,0.2101,0.192,0.201,3049044.0,lqmt
2014-05-20,0.1985,0.201,0.192,0.195,1353462.0,lqmt
2014-05-21,0.198,0.2145,0.1955,0.2005,3287917.0,lqmt
2014-05-22,0.22,0.239,0.182,0.18899999999999997,25680437.0,lqmt
2014-05-23,0.18899999999999997,0.18899999999999997,0.1701,0.174,13318617.0,lqmt
2014-05-26,0.18899999999999997,0.18899999999999997,0.1701,0.174,0.0,lqmt
2014-05-27,0.1749,0.187,0.174,0.18,15874577.0,lqmt
2014-05-28,0.179,0.209,0.171,0.1922,26633524.0,lqmt
2014-05-29,0.2019,0.20199999999999999,0.1836,0.188,15389619.0,lqmt
2014-05-30,0.1905,0.245,0.19,0.242,24110379.0,lqmt
2014-06-02,0.235,0.289,0.212,0.222,37851960.0,lqmt
2014-06-03,0.2265,0.23199999999999998,0.2016,0.207,4232915.0,lqmt
2014-06-04,0.209,0.235,0.2067,0.2199,4580485.0,lqmt
2014-06-05,0.215,0.226,0.213,0.2199,1983955.0,lqmt
2014-06-06,0.2199,0.23,0.2105,0.228,2206693.0,lqmt
2014-06-09,0.22899999999999998,0.23,0.213,0.2165,2371207.0,lqmt
2014-06-10,0.2182,0.23199999999999998,0.2175,0.2209,3165566.0,lqmt
2014-06-11,0.221,0.22899999999999998,0.215,0.2215,2378220.0,lqmt
2014-06-12,0.2235,0.2266,0.222,0.22399999999999998,1690135.0,lqmt
2014-06-13,0.2225,0.223,0.215,0.2163,1297865.0,lqmt
2014-06-16,0.2151,0.225,0.215,0.22399999999999998,2050073.0,lqmt
2014-06-17,0.22699999999999998,0.27,0.22399999999999998,0.265,18547385.0,lqmt
2014-06-18,0.2682,0.26899999999999996,0.2462,0.2578,7578700.0,lqmt
2014-06-19,0.257,0.28,0.255,0.2769,9308283.0,lqmt
2014-06-20,0.2909,0.29100000000000004,0.27,0.281,6095968.0,lqmt
2014-06-23,0.2829,0.2849,0.255,0.27,6690261.0,lqmt
2014-06-24,0.2605,0.27,0.256,0.257,2979196.0,lqmt
2014-06-25,0.253,0.259,0.251,0.258,1904500.0,lqmt
2014-06-26,0.2551,0.275,0.2551,0.2691,2980602.0,lqmt
2014-06-27,0.2696,0.275,0.2621,0.265,2126499.0,lqmt
2014-06-30,0.2595,0.26899999999999996,0.256,0.258,2196782.0,lqmt
2014-07-01,0.26,0.2659,0.24100000000000002,0.24100000000000002,6917291.0,lqmt
2014-07-02,0.242,0.255,0.23199999999999998,0.233,4366404.0,lqmt
2014-07-03,0.2335,0.243,0.23199999999999998,0.23800000000000002,1584881.0,lqmt
2014-07-04,0.2335,0.243,0.23199999999999998,0.23800000000000002,0.0,lqmt
2014-07-07,0.244,0.27399999999999997,0.239,0.255,8073361.0,lqmt
2014-07-08,0.2551,0.26,0.242,0.2497,2974064.0,lqmt
2014-07-09,0.248,0.2495,0.242,0.244,1125987.0,lqmt
2014-07-10,0.24100000000000002,0.249,0.235,0.2391,2544714.0,lqmt
2014-07-11,0.2425,0.249,0.23800000000000002,0.248,1473668.0,lqmt
2014-07-14,0.248,0.2539,0.245,0.2523,784763.0,lqmt
2014-07-15,0.2557,0.2595,0.24,0.24600000000000002,1341794.0,lqmt
2014-07-16,0.244,0.24600000000000002,0.24100000000000002,0.242,1076727.0,lqmt
2014-07-17,0.243,0.247,0.235,0.23600000000000002,1717040.0,lqmt
2014-07-18,0.2361,0.242,0.23600000000000002,0.24,956180.0,lqmt
2014-07-21,0.24,0.254,0.2375,0.2499,1916939.0,lqmt
2014-07-22,0.255,0.255,0.244,0.248,1062945.0,lqmt
2014-07-23,0.25,0.254,0.24,0.2499,1255438.0,lqmt
2014-07-24,0.2499,0.255,0.243,0.247,1191884.0,lqmt
2014-07-25,0.2456,0.2491,0.2411,0.244,1242260.0,lqmt
2014-07-28,0.2449,0.259,0.24100000000000002,0.2536,3916601.0,lqmt
2014-07-29,0.2556,0.259,0.245,0.25,2811603.0,lqmt
2014-07-30,0.249,0.253,0.245,0.247,1133318.0,lqmt
2014-07-31,0.247,0.247,0.2352,0.2401,3774533.0,lqmt
2014-08-01,0.243,0.243,0.2285,0.2285,2511160.0,lqmt
2014-08-04,0.233,0.233,0.212,0.22,4296212.0,lqmt
2014-08-05,0.25,0.25,0.218,0.22,1609110.0,lqmt
2014-08-06,0.22,0.23399999999999999,0.212,0.23399999999999999,1243205.0,lqmt
2014-08-07,0.2375,0.24,0.22,0.23,1083021.0,lqmt
2014-08-08,0.24100000000000002,0.245,0.2315,0.237,1345825.0,lqmt
2014-08-11,0.2345,0.26,0.2315,0.243,1474997.0,lqmt
2014-08-12,0.243,0.245,0.235,0.23600000000000002,1291959.0,lqmt
2014-08-13,0.2395,0.2415,0.2352,0.23800000000000002,2582891.0,lqmt
