Date,Open,High,Low,Close,Volume,symbol
2017-09-26,0.0001,0.0002,0.0001,0.0002,0.0,ocsy
2017-09-27,0.0001,0.0002,0.0001,0.0002,24449999.0,ocsy
2017-09-28,0.0002,0.0002,0.0002,0.0002,9024995.0,ocsy
2017-09-29,0.0002,0.0002,0.0001,0.0002,15370000.0,ocsy
2017-10-02,0.0002,0.0002,0.0001,0.0002,16590000.0,ocsy
2017-10-03,0.0002,0.0002,0.0001,0.0002,22173000.0,ocsy
2017-10-04,0.0001,0.0002,0.0001,0.0002,4550016.0,ocsy
2017-10-05,0.0002,0.0002,0.0002,0.0002,459100.0,ocsy
2017-10-06,0.0002,0.0002,0.0001,0.0002,15231911.0,ocsy
2017-10-09,0.0001,0.0002,0.0001,0.0002,110310001.0,ocsy
2017-10-10,0.0002,0.0002,0.0001,0.0002,8000000.0,ocsy
2017-10-11,0.0002,0.0006,0.0002,0.0005,1195895780.0,ocsy
2017-10-12,0.0007,0.0008,0.0004,0.0007,576244600.0,ocsy
2017-10-13,0.0007,0.0012,0.0006,0.0012,555619450.0,ocsy
2017-10-16,0.0012,0.0015,0.0006,0.0008,1197032890.0,ocsy
2017-10-17,0.0008,0.001,0.0006,0.0008,519314320.0,ocsy
2017-10-18,0.0007,0.0007,0.0005,0.0007,361912430.0,ocsy
2011-05-18,1125.0,1125.0,1125.0,1125.0,0.0,omvs
2011-05-19,1125.0,1525.0,1125.0,1500.0,3.0,omvs
2011-05-20,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-05-23,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-05-24,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-05-25,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-05-26,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-05-27,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-05-30,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-05-31,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-06-01,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-06-02,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-06-03,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-06-06,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-06-07,1125.0,1525.0,1125.0,1500.0,0.0,omvs
2011-06-08,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-09,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-10,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-13,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-14,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-15,1250.0,1250.0,1250.0,1250.0,1.0,omvs
2011-06-16,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-17,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-20,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-21,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-22,1250.0,1250.0,1250.0,1250.0,2.0,omvs
2011-06-23,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-24,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-27,1250.0,1250.0,1250.0,1250.0,0.0,omvs
2011-06-28,1125.0,1250.0,1125.0,1250.0,2.0,omvs
2011-06-29,1210.0,1210.0,1200.0,1200.0,1.0,omvs
2011-06-30,1200.0,1200.0,1200.0,1200.0,2.0,omvs
2011-07-01,1200.0,1250.0,1200.0,1200.0,4.0,omvs
2011-07-04,1200.0,1250.0,1200.0,1200.0,0.0,omvs
2011-07-05,1175.0,1175.0,1175.0,1175.0,0.0,omvs
2011-07-06,1250.0,1375.0,1250.0,1375.0,2.0,omvs
2011-07-07,1375.0,1375.0,1375.0,1375.0,1.0,omvs
2011-07-08,1375.0,1375.0,1250.0,1250.0,1.0,omvs
2011-07-11,1250.0,1325.0,1250.0,1250.0,3.0,omvs
2011-07-12,1375.0,1375.0,1300.0,1300.0,1.0,omvs
2011-07-13,1250.0,1250.0,875.0,875.0,2.0,omvs
2011-07-14,995.0,995.0,995.0,995.0,0.0,omvs
2011-07-15,1000.0,1000.0,1000.0,1000.0,2.0,omvs
2011-07-18,1000.0,1350.0,1000.0,1245.0,8.0,omvs
2011-07-19,1125.0,1125.0,875.0,920.0,15.0,omvs
2011-07-20,925.0,925.0,925.0,925.0,1.0,omvs
2011-07-21,925.0,925.0,925.0,925.0,1.0,omvs
2011-07-22,925.0,925.0,875.0,875.0,2.0,omvs
2011-07-25,875.0,875.0,875.0,875.0,0.0,omvs
2011-07-26,875.0,875.0,825.0,825.0,1.0,omvs
2011-07-27,825.0,900.0,825.0,900.0,3.0,omvs
2011-07-28,900.0,900.0,815.0,815.0,1.0,omvs
2011-07-29,850.0,950.0,850.0,925.0,18.0,omvs
2011-08-01,850.0,950.0,850.0,925.0,0.0,omvs
2011-08-02,900.0,900.0,900.0,900.0,4.0,omvs
2011-08-03,900.0,900.0,900.0,900.0,0.0,omvs
2011-08-04,900.0,900.0,900.0,900.0,0.0,omvs
2011-08-05,900.0,900.0,900.0,900.0,0.0,omvs
2011-08-08,900.0,900.0,900.0,900.0,0.0,omvs
2011-08-09,1000.0,1000.0,1000.0,1000.0,0.0,omvs
2011-08-10,1000.0,1000.0,1000.0,1000.0,0.0,omvs
2011-08-11,1000.0,1000.0,1000.0,1000.0,0.0,omvs
2011-08-12,1000.0,1000.0,1000.0,1000.0,0.0,omvs
2011-08-15,1000.0,1000.0,1000.0,1000.0,0.0,omvs
2011-08-16,1000.0,1000.0,1000.0,1000.0,0.0,omvs
2011-08-17,995.0,995.0,875.0,875.0,2.0,omvs
2011-08-18,875.0,875.0,875.0,875.0,0.0,omvs
2011-08-19,875.0,875.0,875.0,875.0,0.0,omvs
2011-08-22,875.0,900.0,875.0,900.0,0.0,omvs
2011-08-23,825.0,875.0,825.0,875.0,4.0,omvs
2011-08-24,875.0,875.0,875.0,875.0,7.0,omvs
2011-08-25,875.0,875.0,875.0,875.0,5.0,omvs
2011-08-26,825.0,825.0,825.0,825.0,1.0,omvs
2011-08-29,825.0,825.0,825.0,825.0,0.0,omvs
2011-08-30,800.0,875.0,800.0,875.0,3.0,omvs
2011-08-31,875.0,875.0,850.0,850.0,7.0,omvs
2011-09-01,875.0,1000.0,860.0,900.0,12.0,omvs
2011-09-02,900.0,900.0,860.0,865.0,15.0,omvs
2011-09-05,900.0,900.0,860.0,865.0,0.0,omvs
2011-09-06,875.0,925.0,875.0,890.0,35.0,omvs
2011-09-07,900.0,900.0,855.0,900.0,18.0,omvs
2011-09-08,900.0,925.0,900.0,925.0,37.0,omvs
2011-09-09,925.0,925.0,875.0,925.0,20.0,omvs
2011-09-12,925.0,975.0,915.0,915.0,61.0,omvs
2011-09-13,925.0,925.0,900.0,915.0,29.0,omvs
2011-09-14,915.0,920.0,905.0,905.0,10.0,omvs
2011-09-15,915.0,915.0,890.0,915.0,26.0,omvs
2011-09-16,915.0,915.0,900.0,900.0,19.0,omvs
2011-09-19,855.0,915.0,850.0,880.0,23.0,omvs
2011-09-20,900.0,900.0,850.0,850.0,46.0,omvs
2011-09-21,875.0,895.0,800.0,800.0,15.0,omvs
2011-09-22,775.0,945.0,750.0,945.0,33.0,omvs
2011-09-23,975.0,975.0,945.0,975.0,19.0,omvs
2011-09-26,1000.0,1125.0,980.0,1050.0,71.0,omvs
2011-09-27,1050.0,1075.0,1025.0,1025.0,48.0,omvs
2011-09-28,1075.0,1075.0,1050.0,1050.0,9.0,omvs
2011-09-29,1075.0,1075.0,950.0,1000.0,37.0,omvs
2011-09-30,1075.0,1075.0,935.0,950.0,13.0,omvs
2011-10-03,1050.0,1075.0,975.0,975.0,8.0,omvs
2011-10-04,995.0,1045.0,750.0,990.0,19.0,omvs
2011-10-05,950.0,1035.0,875.0,925.0,9.0,omvs
2011-10-06,925.0,1050.0,755.0,775.0,74.0,omvs
2011-10-07,900.0,900.0,775.0,850.0,9.0,omvs
2011-10-10,850.0,850.0,765.0,840.0,10.0,omvs
2011-10-11,850.0,850.0,850.0,850.0,4.0,omvs
2011-10-12,850.0,850.0,850.0,850.0,3.0,omvs
2011-10-13,850.0,850.0,825.0,825.0,3.0,omvs
2011-10-14,765.0,875.0,750.0,750.0,22.0,omvs
2011-10-17,750.0,750.0,505.0,505.0,46.0,omvs
2011-10-18,525.0,525.0,305.0,500.0,132.0,omvs
2011-10-19,360.0,360.0,150.0,255.0,87.0,omvs
2011-10-20,255.0,255.0,240.0,240.0,40.0,omvs
2011-10-21,240.0,245.0,125.0,220.0,180.0,omvs
2011-10-24,220.0,220.0,135.0,135.0,78.0,omvs
2011-10-25,135.0,190.0,125.0,150.0,223.0,omvs
2011-10-26,175.0,220.0,150.0,150.0,557.0,omvs
2011-10-27,215.0,215.0,150.0,210.0,179.0,omvs
2011-10-28,210.0,210.0,95.0,110.0,1305.0,omvs
2011-10-31,140.0,140.0,90.0,109.5,462.0,omvs
2011-11-01,105.0,134.5,90.0,95.0,365.0,omvs
2011-11-02,100.0,100.0,70.0,85.0,406.0,omvs
2011-11-03,77.5,85.0,77.5,85.0,93.0,omvs
2011-11-04,92.5,92.5,77.5,85.0,88.0,omvs
2011-11-07,85.0,120.0,85.0,96.5,176.0,omvs
2011-11-08,105.0,105.0,70.0,77.5,620.0,omvs
2011-11-09,75.0,75.0,70.5,75.0,99.0,omvs
2011-11-10,77.5,77.5,60.0,70.0,151.0,omvs
2011-11-11,60.0,72.0,55.0,60.0,183.0,omvs
2011-11-14,60.0,60.0,50.0,50.0,174.0,omvs
2011-11-15,52.5,55.0,40.0,42.5,119.0,omvs
2011-11-16,40.0,50.0,40.0,45.0,63.0,omvs
2011-11-17,45.0,45.0,40.0,42.5,78.0,omvs
2011-11-18,45.0,60.0,45.0,47.5,198.0,omvs
2011-11-21,47.5,47.5,45.5,45.5,122.0,omvs
2011-11-22,45.5,47.0,40.0,40.0,109.0,omvs
2011-11-23,40.0,40.0,40.0,40.0,25.0,omvs
2011-11-24,40.0,40.0,40.0,40.0,0.0,omvs
2011-11-25,40.0,75.0,40.0,60.0,129.0,omvs
2011-11-28,60.0,70.0,50.0,65.0,302.0,omvs
2011-11-29,69.5,69.95,50.0,69.95,39.0,omvs
2011-11-30,69.95,90.0,65.0,75.0,315.0,omvs
2011-12-01,70.0,85.0,70.0,84.5,69.0,omvs
2011-12-02,84.5,95.0,84.5,95.0,131.0,omvs
2011-12-05,95.0,100.0,95.0,100.0,109.0,omvs
2011-12-06,100.0,100.0,87.5,100.0,260.0,omvs
2011-12-07,100.0,100.0,86.0,92.5,425.0,omvs
2011-12-08,90.0,100.0,70.0,75.5,295.0,omvs
2011-12-09,89.5,89.5,72.5,85.0,206.0,omvs
2011-12-12,90.0,110.0,75.0,99.0,366.0,omvs
2011-12-13,99.0,99.0,60.05,80.0,151.0,omvs
2011-12-14,96.0,96.0,75.0,75.0,473.0,omvs
2011-12-15,75.0,75.0,60.5,65.0,688.0,omvs
2011-12-16,65.0,75.0,60.0,65.0,330.0,omvs
2011-12-19,57.5,65.0,57.5,60.0,754.0,omvs
2011-12-20,55.5,60.0,35.25,47.5,403.0,omvs
2011-12-21,50.0,62.25,42.5,45.0,607.0,omvs
2011-12-22,52.5,65.0,37.5,39.5,1173.0,omvs
2011-12-23,42.5,44.0,35.0,35.0,239.0,omvs
2011-12-26,42.5,44.0,35.0,35.0,0.0,omvs
2011-12-27,35.0,50.0,35.0,50.0,114.0,omvs
2011-12-28,50.0,54.95,38.0,40.0,746.0,omvs
2011-12-29,35.15,40.5,35.15,40.5,167.0,omvs
2011-12-30,35.1,45.0,35.1,42.0,120.0,omvs
2012-01-02,35.1,45.0,35.1,42.0,0.0,omvs
2012-01-03,41.0,42.0,35.0,40.0,399.0,omvs
2012-01-04,42.0,45.0,38.5,38.5,182.0,omvs
2012-01-05,45.0,45.0,37.5,37.5,185.0,omvs
2012-01-06,45.0,45.0,35.0,37.5,299.0,omvs
2012-01-09,37.5,42.5,31.5,31.5,355.0,omvs
2012-01-10,31.5,75.0,31.5,50.0,557.0,omvs
2012-01-11,50.0,60.0,37.5,60.0,323.0,omvs
2012-01-12,60.0,60.0,45.0,45.0,194.0,omvs
2012-01-13,42.5,42.5,42.5,42.5,26.0,omvs
2012-01-16,42.5,42.5,42.5,42.5,0.0,omvs
2012-01-17,38.0,47.5,38.0,47.5,131.0,omvs
2012-01-18,47.5,65.0,47.5,60.0,698.0,omvs
2012-01-19,60.0,80.0,50.0,50.0,1403.0,omvs
2012-01-20,59.5,60.0,40.0,40.0,687.0,omvs
2012-01-23,45.0,50.0,37.5,40.0,948.0,omvs
2012-01-24,42.0,50.0,37.5,40.9,1191.0,omvs
2012-01-25,37.55,47.0,35.0,40.0,1030.0,omvs
2012-01-26,45.0,45.0,37.5,44.5,320.0,omvs
2012-01-27,45.0,45.0,38.5,38.5,198.0,omvs
2012-01-30,43.5,43.5,34.0,34.5,732.0,omvs
2012-01-31,39.5,41.45,35.5,40.0,657.0,omvs
2012-02-01,42.5,54.0,37.5,44.0,1324.0,omvs
2012-02-02,47.5,47.5,35.5,40.0,707.0,omvs
2012-02-03,37.5,42.5,32.5,40.0,927.0,omvs
2012-02-06,45.0,45.0,35.0,35.55,596.0,omvs
2012-02-07,40.0,44.5,37.5,37.55,990.0,omvs
2012-02-08,42.5,43.0,35.0,35.0,626.0,omvs
2012-02-09,40.0,40.0,33.0,34.0,294.0,omvs
2012-02-10,39.5,39.5,34.0,37.5,249.0,omvs
2012-02-13,37.5,37.5,32.25,33.0,528.0,omvs
2012-02-14,35.0,35.0,32.45,34.0,331.0,omvs
2012-02-15,32.25,38.0,32.25,35.0,369.0,omvs
2012-02-16,38.0,38.0,32.5,32.5,194.0,omvs
2012-02-17,35.0,36.5,34.0,36.5,75.0,omvs
