Date,Open,High,Low,Close,Volume,symbol
2015-11-19,0.3,0.3,0.3,0.3,0.0,mves
2015-11-20,0.26,0.26,0.21,0.21,11098.0,mves
2015-11-23,0.22,0.22,0.22,0.22,1200.0,mves
2015-11-24,0.22,0.22,0.22,0.22,219.0,mves
2015-11-25,0.22,0.22,0.22,0.22,0.0,mves
2015-11-26,0.22,0.22,0.22,0.22,0.0,mves
2015-11-27,0.22,0.22,0.22,0.22,0.0,mves
2015-11-30,0.22,0.22,0.22,0.22,0.0,mves
2015-12-01,0.22,0.22,0.22,0.22,0.0,mves
2015-12-02,0.22,0.22,0.22,0.22,0.0,mves
2015-12-03,0.22,0.22,0.22,0.22,0.0,mves
2015-12-04,0.22,0.22,0.22,0.22,0.0,mves
2015-12-07,0.22,0.22,0.22,0.22,0.0,mves
2015-12-08,0.22,0.22,0.22,0.22,0.0,mves
2015-12-09,0.22,0.22,0.22,0.22,0.0,mves
2015-12-10,0.22,0.22,0.22,0.22,0.0,mves
2015-12-11,0.22,0.22,0.22,0.22,0.0,mves
2015-12-14,0.25,0.28,0.24,0.24,165801.0,mves
2015-12-15,0.2499,0.2699,0.201,0.201,113768.0,mves
2015-12-16,0.201,0.245,0.19,0.2,34873.0,mves
2015-12-17,0.22,0.23,0.195,0.2,163498.0,mves
2015-12-18,0.18,0.2,0.175,0.1925,37644.0,mves
2015-12-21,0.17,0.17,0.1261,0.16,86128.0,mves
2015-12-22,0.135,0.1375,0.125,0.127,48684.0,mves
2015-12-23,0.135,0.1375,0.125,0.127,0.0,mves
2015-12-24,0.135,0.1375,0.125,0.127,0.0,mves
2015-12-25,0.135,0.1375,0.125,0.127,0.0,mves
2015-12-28,0.125,0.125,0.125,0.125,5000.0,mves
2015-12-29,0.125,0.127,0.125,0.127,18875.0,mves
2015-12-30,0.15,0.155,0.095,0.1,2030241.0,mves
2015-12-31,0.1,0.11,0.091,0.11,116772.0,mves
2016-01-01,0.1,0.11,0.091,0.11,0.0,mves
2016-01-04,0.095,0.11,0.092,0.107,107544.0,mves
2016-01-05,0.092,0.1,0.091,0.091,112080.0,mves
2016-01-06,0.085,0.105,0.085,0.105,68405.0,mves
2016-01-07,0.105,0.105,0.1,0.1022,32297.0,mves
2016-01-08,0.1025,0.105,0.07,0.08,1467814.0,mves
2016-01-11,0.08,0.08,0.055,0.055,317386.0,mves
2016-01-12,0.055,0.06,0.04,0.046,277541.0,mves
2016-01-13,0.042,0.046,0.042,0.046,77091.0,mves
2016-01-14,0.04,0.043,0.011000000000000001,0.016,1966133.0,mves
2016-01-15,0.016,0.022000000000000002,0.016,0.022000000000000002,244902.0,mves
2016-01-18,0.016,0.022000000000000002,0.016,0.022000000000000002,0.0,mves
2016-01-19,0.018000000000000002,0.022000000000000002,0.018000000000000002,0.0185,218156.0,mves
2016-01-20,0.0185,0.0185,0.013999999999999999,0.015,179200.0,mves
