Date,Open,High,Low,Close,Volume,symbol
2014-01-07,24192.0,25088.0,23322.88,24908.8,34.0,dcthd
2014-01-08,24980.48,25984.0,24335.36,24908.8,47.0,dcthd
2014-01-09,25518.08,28770.56,24640.0,27767.04,188.0,dcthd
2014-01-10,30464.0,30912.0,25625.6,25742.08,177.0,dcthd
2014-01-13,26781.44,29030.4,25984.0,27776.0,97.0,dcthd
2014-01-14,28672.0,31136.0,26432.0,27068.16,135.0,dcthd
2014-01-15,27776.0,28645.12,25724.16,26682.88,50.0,dcthd
2014-01-16,26871.04,34944.0,26118.4,34944.0,310.0,dcthd
2014-01-17,32256.0,33868.8,29568.0,32211.2,145.0,dcthd
2014-01-20,32256.0,33868.8,29568.0,32211.2,0.0,dcthd
2014-01-21,32256.0,34415.36,31476.48,33868.8,75.0,dcthd
2014-01-22,34048.0,34048.0,30168.32,31360.0,69.0,dcthd
2014-01-23,31808.0,33134.08,28672.0,33134.08,61.0,dcthd
2014-01-24,32256.0,32704.0,30016.0,30723.84,28.0,dcthd
2014-01-27,31118.08,31118.08,25984.0,27811.84,59.0,dcthd
2014-01-28,28663.04,30016.0,27829.76,29559.04,24.0,dcthd
2014-01-29,31494.4,33600.0,31270.4,31808.0,126.0,dcthd
2014-01-30,30553.6,32247.04,29209.6,30643.2,33.0,dcthd
2014-01-31,29568.0,31261.44,27802.88,27865.6,48.0,dcthd
2014-02-03,27865.6,28663.04,27596.8,28582.4,22.0,dcthd
2014-02-04,28672.0,28672.0,26880.0,26880.0,21.0,dcthd
2014-02-05,26888.96,27758.08,26028.8,26378.24,22.0,dcthd
2014-02-06,26432.0,27758.08,26055.68,26969.6,17.0,dcthd
2014-02-07,27758.08,29738.24,27059.2,28680.96,41.0,dcthd
2014-02-10,29478.4,29478.4,27865.6,28215.04,18.0,dcthd
2014-02-11,27784.96,28564.48,27776.0,27955.2,13.0,dcthd
2014-02-12,27955.2,28564.48,27328.0,27776.0,13.0,dcthd
2014-02-13,27767.04,29568.0,26933.76,29120.0,39.0,dcthd
2014-02-14,29478.4,29478.4,28000.0,28555.52,16.0,dcthd
2014-02-17,29478.4,29478.4,28000.0,28555.52,0.0,dcthd
2014-02-18,28761.6,30912.0,28224.0,29388.8,45.0,dcthd
2014-02-19,30419.2,30419.2,28322.56,29469.44,19.0,dcthd
2014-02-20,28672.0,29442.56,27874.56,28080.64,15.0,dcthd
2014-02-21,28663.04,28663.04,27328.0,27336.96,17.0,dcthd
2014-02-24,27417.6,28663.04,26476.8,28591.36,27.0,dcthd
2014-02-25,28591.36,29120.0,27328.0,28232.96,23.0,dcthd
2014-02-26,28268.8,28654.08,27265.28,27784.96,22.0,dcthd
2014-02-27,28483.84,28483.84,27041.28,27148.8,19.0,dcthd
2014-02-28,27758.08,28215.04,26888.96,27776.0,21.0,dcthd
2014-03-03,27820.8,28206.08,27104.0,27686.4,16.0,dcthd
2014-03-04,27148.8,28035.84,27148.8,27776.0,24.0,dcthd
2014-03-05,27776.0,27973.12,27345.92,27417.6,14.0,dcthd
2014-03-06,27408.64,29075.2,27336.96,28582.4,30.0,dcthd
2014-03-07,28672.0,30732.8,27784.96,29568.0,66.0,dcthd
2014-03-10,30903.04,31351.04,29657.6,31180.8,57.0,dcthd
2014-03-11,31360.0,32166.4,27784.96,28224.0,69.0,dcthd
2014-03-12,28672.0,30867.2,28062.72,30275.84,47.0,dcthd
2014-03-13,30455.04,30455.04,27059.2,28179.2,72.0,dcthd
2014-03-14,29980.16,30016.0,27148.8,27328.0,31.0,dcthd
2014-03-17,28215.04,28645.12,27336.96,27632.64,18.0,dcthd
2014-03-18,27776.0,27946.24,26611.2,27059.2,26.0,dcthd
2014-03-19,26880.0,32256.0,26432.0,31360.0,175.0,dcthd
2014-03-20,35078.4,37614.08,30284.8,31422.72,221.0,dcthd
2014-03-21,27892.48,28680.96,26440.96,28680.96,103.0,dcthd
2014-03-24,29568.0,29568.0,26996.48,29111.04,31.0,dcthd
2014-03-25,29496.32,29559.04,27569.92,27784.96,22.0,dcthd
2014-03-26,28663.04,28663.04,27381.76,27776.0,22.0,dcthd
2014-03-27,27417.6,27776.0,26611.2,26880.0,42.0,dcthd
2014-03-28,27328.0,27758.08,25984.0,26019.84,33.0,dcthd
2014-03-31,26037.76,26324.48,24819.2,25088.0,32.0,dcthd
2014-04-01,24290.56,27328.0,24290.56,27328.0,27.0,dcthd
2014-04-02,27767.04,27767.04,26136.32,26888.96,15.0,dcthd
2014-04-03,27301.12,27767.04,25992.96,25992.96,18.0,dcthd
2014-04-04,26880.0,27328.0,25984.0,25984.0,12.0,dcthd
2014-04-07,26871.04,26871.04,25580.8,26010.88,16.0,dcthd
2014-04-08,26001.92,27534.08,25267.2,26208.0,16.0,dcthd
2014-04-09,22736.0,22960.0,19768.0,20888.0,212.0,dcthd
2014-04-10,20888.0,25144.0,20664.0,25088.0,169.0,dcthd
2014-04-11,24528.0,24583.44,21784.0,22176.0,79.0,dcthd
2014-04-14,23296.0,24528.0,22064.0,22232.0,39.0,dcthd
2014-04-15,22064.0,22120.0,19773.04,21224.0,89.0,dcthd
2014-04-16,21336.0,22512.0,20664.0,21616.0,48.0,dcthd
2014-04-17,21560.0,22344.0,20552.0,20944.0,52.0,dcthd
2014-04-18,21560.0,22344.0,20552.0,20944.0,0.0,dcthd
2014-04-21,21112.0,21168.0,20383.44,21056.0,20.0,dcthd
2014-04-22,21336.0,22960.0,21112.0,22232.0,91.0,dcthd
2014-04-23,22176.0,22176.0,21000.0,21448.0,36.0,dcthd
2014-04-24,21112.0,22232.0,20860.0,21616.0,61.0,dcthd
2014-04-25,21392.0,21504.0,20378.96,20440.0,70.0,dcthd
2014-04-28,20720.0,20944.0,19320.0,20552.0,29.0,dcthd
2014-04-29,20664.0,21000.0,20160.0,20720.0,17.0,dcthd
2014-04-30,20720.0,20720.0,19712.0,20048.0,28.0,dcthd
2014-05-01,19992.0,20664.0,19992.0,20048.0,11.0,dcthd
2014-05-02,20048.0,20608.0,20048.0,20272.0,27.0,dcthd
2014-05-05,20160.0,20440.0,19207.44,19208.0,96.0,dcthd
2014-05-06,19544.0,19544.0,17864.0,18088.0,71.0,dcthd
2014-05-07,18200.0,18200.0,16856.0,17192.0,48.0,dcthd
2014-05-08,17080.0,18144.0,17080.0,17696.0,41.0,dcthd
2014-05-09,17696.0,18088.0,16968.0,17024.0,28.0,dcthd
2014-05-12,17360.0,17864.0,16184.0,16632.0,31.0,dcthd
2014-05-13,16240.0,16520.0,15288.0,15904.0,44.0,dcthd
2014-05-14,15736.0,16576.0,15680.0,16240.0,13.0,dcthd
2014-05-15,16128.0,16213.12,15456.0,15736.0,21.0,dcthd
2014-05-16,15680.0,15736.0,14951.44,15232.0,21.0,dcthd
2014-05-19,14952.0,15344.0,13664.0,14168.0,41.0,dcthd
2014-05-20,13888.0,14728.0,13888.0,14336.0,21.0,dcthd
2014-05-21,14280.0,14616.0,14056.0,14280.0,16.0,dcthd
2014-05-22,14112.0,15624.0,14056.0,14784.0,99.0,dcthd
2014-05-23,14728.0,15176.0,14560.0,14840.0,16.0,dcthd
2014-05-26,14728.0,15176.0,14560.0,14840.0,0.0,dcthd
2014-05-27,14784.0,15568.0,14784.0,15008.0,32.0,dcthd
2014-05-28,15176.0,16072.0,14616.0,15624.0,101.0,dcthd
2014-05-29,15680.0,16351.44,15344.0,15568.0,26.0,dcthd
2014-05-30,15400.0,15715.84,15064.0,15120.0,11.0,dcthd
2014-06-02,15064.0,15097.6,14336.56,14504.0,13.0,dcthd
2014-06-03,14448.0,14504.0,13888.0,14280.0,19.0,dcthd
2014-06-04,14392.0,14448.0,14001.68,14168.0,8.0,dcthd
2014-06-05,14000.0,14952.0,13832.56,14784.0,13.0,dcthd
2014-06-06,15008.0,15568.0,15008.0,15064.0,11.0,dcthd
2014-06-09,15232.0,15344.0,14672.0,15120.0,13.0,dcthd
2014-06-10,14952.0,15568.0,14952.0,15344.0,14.0,dcthd
2014-06-11,15288.0,15624.0,15271.2,15456.0,7.0,dcthd
2014-06-12,15288.0,15568.0,15008.0,15176.0,9.0,dcthd
2014-06-13,15120.0,15175.44,14672.0,15064.0,7.0,dcthd
2014-06-16,14896.0,15344.0,14616.0,15176.0,6.0,dcthd
2014-06-17,15008.0,15848.0,15008.0,15624.0,11.0,dcthd
2014-06-18,15400.0,15904.0,15400.0,15904.0,5.0,dcthd
2014-06-19,15904.0,16184.0,15456.0,15568.0,10.0,dcthd
2014-06-20,15456.0,16128.0,15400.0,16128.0,14.0,dcthd
2014-06-23,16016.0,16800.0,15512.0,15680.0,23.0,dcthd
2014-06-24,15680.0,16352.0,15568.0,15624.0,12.0,dcthd
2014-06-25,15568.0,15624.0,15064.0,15344.0,12.0,dcthd
2014-06-26,15120.0,15288.0,15120.0,15176.0,6.0,dcthd
2014-06-27,15120.0,15400.0,14560.0,14672.0,11.0,dcthd
2014-06-30,14560.0,15064.0,14448.0,14700.0,11.0,dcthd
